,operator,frequency,error,complexity,runtime
33,1,0,2.657229013664804,1805975.1644226846,66.85322769199392
34,1,0,2.646167917005162,1859948.1720430108,66.98091086281737
35,1,0,2.6343208469833104,1802413.2777777778,65.92932515425215
36,1,0,2.641966394909051,1756615.114115308,66.33579354486974
37,1,0,2.7048727919008986,1671147.871253269,66.62254178234447
38,1,0,2.8147056634827448,1880879.7601296597,67.39975410414334
39,1,0,2.8362873359940046,1675971.3860465116,66.84124674798716
40,10,2160,28.628052448258146,35352.3911716843,4.105693285192073
41,10,2160,28.50946863895926,38904.15300546448,4.516680923303179
42,10,2160,28.700264019424107,35394.87287266762,4.323641328465348
43,10,2160,28.071672135832742,35464.45811789038,4.137538510809086
44,10,2160,28.221166825423094,38029.01903807615,4.0995450413231564
45,10,2160,28.559087290145122,35335.67617866005,4.1419765595200335
46,10,2160,29.56723767833712,38219.51147070873,3.982903403109829
47,10,2160,28.7338009912527,35412.544384805944,4.006021937088538
48,10,2160,28.88864120346596,37774.03328682479,3.9916832001130964
49,10,2160,28.340234709334073,35211.20289264616,4.386932722390165
50,10,2160,28.453947148655327,35303.80583126551,3.808758114587833
51,10,2160,29.25115656615203,38858.53510895884,3.834180269391096
52,10,2160,29.964956298429136,35057.096348884384,3.6810840239170295
53,10,2160,28.84093525716079,35311.7953192363,3.6585245458697897
54,10,2160,28.257389641479268,39279.31097934983,3.703776506112595
55,10,2160,28.739016870841773,35132.335766423355,3.6288804849738137
56,10,2160,28.5541435078705,38029.47779111645,3.6003126848709672
57,10,2160,28.552486404844053,35264.09781287971,3.707375585068728
58,10,2160,28.96924289834384,35257.00102040816,3.6194121363401717
59,10,2160,28.879552168959126,35185.482001220254,3.7893425143470254
60,10,3649,4.431622381794946,421799.9696847211,24.942123965437773
61,10,3649,4.399277024247063,415997.6671356784,24.63877229544161
62,10,3649,4.65604652810164,393951.5603588907,25.21048110256847
63,10,3649,4.22849096819038,426425.849444673,24.589294532458755
64,10,3649,4.451547427020432,423407.30249252246,24.09413758403476
65,10,3649,4.41063986899917,425638.4064237183,25.567149487357614
66,10,3649,4.206429134006014,430361.010989011,25.625426072428684
67,10,3649,4.416766610114644,448191.48009848176,24.74212790376961
68,10,3649,4.478606101141724,454992.7121062017,25.714683499979234
69,10,3649,4.403398794996794,423840.1444466923,23.795095105617243
70,10,3649,4.420197644695798,425815.04959868285,24.751196663507
71,10,3649,4.549251239644321,422625.6454782434,24.412837071750996
72,10,3649,4.28812547258647,391218.5243188698,24.0310340666792
73,10,3649,4.476496863369145,448617.17647058825,24.319832006928184
74,10,3649,4.312333032661794,478123.1488324873,25.47678679388565
75,10,3649,4.303667715132514,521678.5823090873,24.250524362679418
76,10,3649,4.388539825809141,389807.00437723834,23.583538206557307
77,10,3649,4.40949065525566,420709.7917841321,23.751123404926258
78,10,3649,4.513935340949603,392236.03609815455,23.638147424284732
79,10,3649,4.3056583567694995,428094.5862836334,23.996870054074133
80,10,780,60.23786976513999,15888.57142857143,1.7622485659182905
81,10,780,65.19643051170546,16025.079365079366,1.752766189463311
82,10,780,59.27168288490125,16837.304545454546,1.860650060604317
83,10,780,63.513366092401824,16204.369262506447,1.9292572631859455
84,10,780,60.907067605362,18482.113739305485,1.9700417609601295
